"id";"companies_id";"name"
1;1141344;"Модный Дом Mastersuit"
2;11141779;"Фрамбини"
3;1334344;"Легион, детективное агентство"
4;3036416;"Департамент Ф53"
5;1942330;"Пятёрочка"
7;644366;"ФГАОУ ВО РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ им.Н.И. ПИРОГОВА МИНИСТЕР"
8;2538661;"Матрас.ру"
9;5326718;"Онлайн-школа EcoFamilySchool"
10;10790339;"BRAMTON"
11;11851568;"Короткая Наталия Игоревна"
12;81492;"Профессиональный Футбольный Клуб ЦСКА"
13;9938436;"HR-Stalker"
14;11118907;"Евразия"
15;3927492;"Зигмунд Онлайн"
16;12217137;"Альянс - Капитал"
17;11925309;"Семченко Татьяна Владимировна"
18;10322008;"Старт"
19;2366675;"Textile Salon"
20;11382308;"Белатрикс"
22;5027598;"Otvet.co"
23;1087973;"ГРУППА КОМПАНИЙ ПРОСТОР"
51;1326;"ГК ВИЗАВИ Консалт"
90;11893328;"AZ Recruitment"
93;3792849;"Счетная палата Российской Федерации"
94;1644087;"Группа Компаний Буран"
95;68703;"НЭПТ"
96;3680460;"CHARMSTORE"
