"id";"h_id";"title";"position";"publish_date";"category";"company_id";"location_id";"min_salary";"max_salary"
1;124004652;"Мастер-портной в Дом Моды";"От 3 до 6 лет";"2025-08-13";"Швея, портной, закройщик";1;1;150000;150000
2;124188709;"Дегустатор новых вкусов Frambini";"Нет опыта";"2025-08-18";"Другое";2;2;300000;0
3;123920619;"Разведчица/Разведчик";"Нет опыта";"2025-08-11";"Журналист, корреспондент";3;0;100000;500000
4;124386037;"Продавец-консультант";"Нет опыта";"2025-08-22";"Продавец-консультант, продавец-кассир";4;0;80000;0
5;121171854;"Кладовщик";"Нет опыта";"2025-07-29";"Кладовщик";5;0;100000;152000
6;124385797;"Сборщик заказов";"Нет опыта";"2025-08-22";"Упаковщик, комплектовщик";4;0;100000;0
7;124372075;"Начальник отдела комплексной безопасности";"От 3 до 6 лет";"2025-08-22";"Специалист службы безопасности";7;3;150000;0
8;123518593;"Тестировщик матрасов в Матрас.Ру";"Нет опыта";"2025-08-01";"Другое";8;4;150000;200000
9;123897976;"Удалённый тьютор/онлайн-наставник/куратор в Ecofamilyschool";"Нет опыта";"2025-08-11";"Учитель, преподаватель, педагог";9;0;50000;70000
10;124194826;"Исполнительный директор (CEO)";"Более 6 лет";"2025-08-22";"Генеральный директор, исполнительный директор (CEO)";10;0;500000;850000
11;124398615;"Гувернантка/Гувернер";"Более 6 лет";"2025-08-23";"Воспитатель, няня";11;5;300000;330000
12;124193751;"Менеджер по организации мероприятий";"От 1 года до 3 лет";"2025-08-18";"Event-менеджер";12;6;100000;150000
13;124311215;"Финансовый директор (CFO)";"Более 6 лет";"2025-08-21";"Финансовый директор (CFO)";13;7;250000;500000
14;123052239;"Персональный водитель (Москва и Московская область)";"От 3 до 6 лет";"2025-08-19";"Водитель";14;0;180000;180000
15;124393173;"Старший психолог | Тим лид направления психологии";"От 1 года до 3 лет";"2025-08-23";"Психолог";15;0;0;0
16;124061408;"Слесарь-сборщик летательных аппаратов";"От 1 года до 3 лет";"2025-08-23";"Слесарь, сантехник";16;0;210000;230000
17;124362572;"Семейный водитель";"Более 6 лет";"2025-08-22";"Водитель";17;8;150000;0
18;124075694;"Frontend-разработчик";"Нет опыта";"2025-08-23";"Программист, разработчик";18;9;150000;200000
19;124214579;"Помощник на выставку 31 авг - 4 сен";"От 1 года до 3 лет";"2025-08-19";"Другое";19;10;100000;100000
20;124382634;"Водитель персональный";"Более 6 лет";"2025-08-22";"Охранник";20;11;170000;0
21;124193436;"Менеджер по маркетингу и рекламе";"От 3 до 6 лет";"2025-08-18";"Менеджер по маркетингу, интернет-маркетолог";12;6;0;0
22;124327418;"Семейный водитель";"Более 6 лет";"2025-08-24";"Водитель";22;0;150000;180000
23;112625062;"Помощник Волан-де-Морта";"Нет опыта";"2025-08-24";"Агент по недвижимости";23;12;255000;355000
51;124406205;"Исполнительный директор";"Более 6 лет";"2025-08-24";"Генеральный директор, исполнительный директор (CEO)";51;0;0;0
90;124290909;"Персональный (семейный) водитель на автомобиль представительского класса";"Более 6 лет";"2025-08-20";"Водитель";90;0;150000;200000
91;124234915;"Заместитель генерального директора \ Исполнительный директор";"Более 6 лет";"2025-08-19";"Генеральный директор, исполнительный директор (CEO)";90;0;400000;0
93;124342973;"Начальник отдела контроля и документооборота";"Более 6 лет";"2025-08-21";"Другое";93;13;206000;0
94;124293076;"Директор по правовым вопросам";"Более 6 лет";"2025-08-20";"Директор юридического департамента (CLO)";94;0;350000;0
95;124302028;"Начальник склада (Эль-Дабаа, Египет)";"Более 6 лет";"2025-08-21";"Начальник склада";95;14;200000;250000
96;123604614;"Стилист-консультант Charmstore Fashion";"Нет опыта";"2025-08-04";"Другое";96;0;70000;110000
