"vacancy_id";"skill_id"
1;1
3;2
3;3
3;4
3;5
11;6
11;7
11;8
11;9
11;10
12;6
12;12
12;13
12;14
12;15
13;16
13;17
13;18
13;19
13;20
13;21
13;22
13;23
13;24
13;25
13;26
13;27
13;28
13;29
13;30
13;31
13;32
13;33
13;34
13;35
13;36
13;37
13;38
13;39
13;40
15;41
15;42
15;43
15;44
15;45
15;46
16;47
16;48
16;49
16;50
16;51
16;52
16;53
16;54
17;55
17;56
17;57
17;58
19;3
19;60
19;61
19;62
19;63
19;12
21;6
21;66
21;67
22;56
22;69
22;70
23;71
23;72
23;73
23;74
23;75
23;76
23;77
23;67
23;79
23;80
23;81
1;1
3;2
3;3
3;4
3;5
11;6
11;7
11;8
11;9
11;10
12;6
12;12
12;13
12;14
12;15
13;16
13;17
13;18
13;19
13;20
13;21
13;22
13;23
13;24
13;25
13;26
13;27
13;28
13;29
13;30
13;31
13;32
13;33
13;34
13;35
13;36
13;37
13;38
13;39
13;40
15;41
15;42
15;43
15;44
15;45
15;46
16;47
16;48
16;49
16;50
16;51
16;52
16;53
16;54
17;55
17;56
17;57
17;58
19;3
19;60
19;61
19;62
19;63
19;12
1;1
3;2
3;3
3;4
3;5
11;6
11;7
11;8
11;9
11;10
12;6
12;12
12;13
12;14
12;15
13;16
13;17
13;18
13;19
13;20
13;21
13;22
13;23
13;24
13;25
13;26
13;27
13;28
13;29
13;30
13;31
13;32
13;33
13;34
13;35
13;36
13;37
13;38
13;39
13;40
15;41
15;42
15;43
15;44
15;45
15;46
17;55
17;56
17;57
17;58
16;47
16;48
16;49
16;50
16;51
16;52
16;53
16;54
19;3
19;60
19;61
19;62
19;63
19;12
21;6
21;66
21;67
22;56
22;69
22;70
1;1
3;2
3;3
3;4
3;5
11;6
11;7
11;8
11;9
11;10
12;6
12;12
12;13
12;14
12;15
13;16
13;17
13;18
13;19
13;20
13;21
13;22
13;23
13;24
13;25
13;26
13;27
13;28
13;29
13;30
13;31
13;32
13;33
13;34
13;35
13;36
13;37
13;38
13;39
13;40
15;41
15;42
15;43
15;44
15;45
15;46
17;55
17;56
17;57
17;58
16;47
16;48
16;49
16;50
16;51
16;52
16;53
16;54
19;3
19;60
19;61
19;62
19;63
19;12
22;56
22;69
22;70
21;6
21;66
21;67
23;71
23;72
23;73
23;74
23;75
23;76
23;77
23;67
23;79
23;80
23;81
93;297
93;298
93;299
93;300
93;301
93;302
93;303
93;304
93;305
93;306
93;307
93;308
93;309
95;310
95;311
95;312
95;313
95;6
95;315
95;316
95;317
95;318
95;13
95;320
95;321
95;322
95;323
96;75
96;306
96;3
96;327
96;328
